dcp,legdgn01,dcpaix21702425,dcppwr21402010,10.141.65.112,22,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,GQF
dcp,legdgn01,dcpaix21702597,dcppwr21175812,10.141.65.41,34,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legdgn01,dcpaix21741514,dcppwr21402010,10.141.65.116,30,149,AGE,BLANK,DVEBMGS02,BLANK,linciage0200,BLANK,AGE
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,JGB AGB,JGB,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900,AGB JGB
dcp,legdgn01,dcpaix21755526,dcppwr21402010,10.141.65.129,32,149,PT1,PT1,SCS35,JC34,linjipt13400,linjipt13400,PT1
dcp,legdgn01,dcpaix21758893,dcppwr21402010,10.141.65.134,17,149,BLANK,H84 G98,BLANK,SMDA66 SMDA64,BLANK,lindbhqs2100c4 lindbhps2200c4,HPS HQS
dcp,legdgn01,dcpaix21761953,dcppwr21695550,10.141.65.127,35,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,S02
dcp,legdgn01,dcpaix21762210,dcppwr21402010,10.141.65.125,13,149,BLANK,G89,BLANK,SMDA62,BLANK,linjdgrl1500c4,GRL
dcp,legdgn01,dcpaix21763143,dcppwr21175793,10.141.65.154,12,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,GQL
dcp,legdgn01,dcpaix21764174,dcppwr21175802,10.141.65.171,29,149,GQL,GQL,SCS18,JC19,linjigql1900,linjigql1900,BLANK
dcp,legdgn01,dcpaix21765395,dcppwr21175815,10.141.65.175,21,149,GRL,D12 GRL,SCS14,SMDA93 JC15,linjigrl1500,linjigrl1500 linjigrl1500,BLANK
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS HQS,BLANK,DVEBMGS22 DVEBMGS21,BLANK,lincihps2200 lincihqs2100,BLANK,BLANK
dcp,legdgn01,dcpaix21765423,dcppwr21175815,10.141.65.177,25,149,S02,BLANK,DVEBMGS25,BLANK,lincis022500,BLANK,BLANK
dcp,legdgn01,dcpaix21765574,dcppwr21175815,10.141.65.173,37,149,GQL,GQL,BLANK,J20,BLANK,linjigql2000,BLANK
dcp,legdgn01,dcpaix21798451,dcppwr21695550,10.141.65.183,59,149,D03,BLANK,DVEBMGS28,BLANK,lincid032800,BLANK,D03
dcp,legdgn01,dcpaix21798716,dcppwr21175793,10.141.65.188,73,149,BLANK,G76,BLANK,SMDA67,BLANK,lindbgqa6000c4,GQA
dcp,legdgn01,dcpaix21830084,dcppwr21695550,10.141.65.195,150,149,T03,BLANK,DVEBMGS27,BLANK,lincit032700,BLANK,T03
dcp,legdgn01,dcpaix21911059,dcppwr21175793,10.141.65.85,12,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legdgn01,dcpaix21912302,dcppwr21656281,10.141.66.11,25,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legdgn01,dcpaix21912393,dcppwr21175815,10.141.66.26,40,149,TST,BLANK,DVEBMGS01,BLANK,lincitst0100,BLANK,BLANK
dcp,legdgn01,dcpaix21912514,dcppwr21788375,10.141.66.28,40,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,TST
dcp,legdgn01,dcpaix21913504,dcppwr21175815,10.141.66.30,15,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legdgn01,dcpaix21913510,dcppwr21175815,10.141.66.33,20,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
dcp,legdgi01,dcpaix21314367,dcppwr19322687,10.141.112.30,80,327,SGX DGX DGX SGX,BLANK,SCS75 SCS67 DVEBMGS66 DVEBMGS74,BLANK,lincisgx7400 lincidgx6600 lincidgx6600 lincisgx7400,BLANK,BLANK
dcp,legdgi01,dcpaix21335690,dcppwr20164807,10.141.112.49,16,327,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,DGX SGX
