ENV,CLUSTER,LPAR,PHYSICAL_LPAR,PHYSICAL_IP,SLICES,VLAN_ID,ABAP_SIDs,JAVA_SIDs,DATABASES,ABAP_INSTANCES,JAVA_INSTANCES,SAP_HOSTNAMES,JAVA_HOSTNAMES
dcp,legdgn01,dcpaix21755526,dcppwr21402010,10.141.65.129,32,149,PT1,PT1,PT1,SCS35,JC34,linjipt13400,linjipt13400
dcp,legdgn01,dcpaix21755526,dcppwr21402010,10.141.65.129,32,149,PT1,PT1,PT1,SCS35,JC34,linjipt13400,linjipt13400
dcp,legdgn01,dcpaix21761953,dcppwr21695550,10.141.65.127,35,149,,,S02,,,,
dcp,legdgn01,dcpaix21765423,dcppwr21175815,10.141.65.177,25,149,S02,,,DVEBMGS25,,lincis022500,
dcp,legdgn01,dcpaix21798716,dcppwr21175793,10.141.65.188,73,149,,G76,GQA,,SMDA67,,lindbgqa6000c4
dcp,legdgn01,dcpaix21797466,dcppwr21656281,fe80::b838:7dff:fe5b:e20e%3/64,43,149,GQA,,,DVEBMGS60,,cigqa60,
dcp,legdgn01,dcpaix21798451,dcppwr21695550,10.141.65.183,59,149,D03,,D03,DVEBMGS28,,lincid032800,
dcp,legdgn01,dcpaix21798451,dcppwr21695550,10.141.65.183,59,149,D03,,D03,DVEBMGS28,,lincid032800,
dcp,legdgn01,dcpaix21758893,dcppwr21402010,10.141.65.134,17,149,,H84 G98,HQS HPS,,SMDA66 SMDA64,,lindbhqs2100c4 lindbhps2200c4
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS HQS,,,DVEBMGS22 DVEBMGS21,,lincihps2200 lincihqs2100,
dcp,legdgn01,dcpaix21830084,dcppwr21695550,10.141.65.195,150,149,T03,,T03,DVEBMGS27,,lincit032700,
dcp,legdgn01,dcpaix21830084,dcppwr21695550,10.141.65.195,150,149,T03,,T03,DVEBMGS27,,lincit032700,
dcp,legdgn01,dcpaix21404209,dcppwr21091681,10.141.64.64,9,149,,,SGE,,,,
dcp,legdgn01,dcpaix21404395,dcppwr19322687,10.141.64.68,14,149,SGE,E54,,DVEBMGS11,SMDA92,lincisge1100,lincisge1100
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,S9E,G58 E50,S9E,DVEBMGS32,SMDA29 SMDA46,lincis9e3200,lindbs9e3200c4 lincis9e3200
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,S9E,G58 E50,S9E,DVEBMGS32,SMDA29 SMDA46,lincis9e3200,lindbs9e3200c4 lincis9e3200
dcp,legdgn01,dcpaix21404136,dcppwr21091681,10.141.64.61,12,149,S2E,,S2E,DVEBMGS63,,lincis2e6300,
dcp,legdgn01,dcpaix21404136,dcppwr21091681,10.141.64.61,12,149,S2E,,S2E,DVEBMGS63,,lincis2e6300,
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,S1E,G51 E42,S1E,DVEBMGS33,SMDA25 SMDA94,lincis1e3300,lindbs1e3300c4 lincis1e3300
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,S1E,G51 E42,S1E,DVEBMGS33,SMDA25 SMDA94,lincis1e3300,lindbs1e3300c4 lincis1e3300
dcp,legdgn01,dcpaix21322795,dcppwr21091681,10.141.64.199,12,149,,,QNU,,,,
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,QN2 QNU,W36 F98 QN2,,SCS25 DVEBMGS23,SMDA78 SMDA88 JC24,linjiqn22400 linciqnu2300,linciqnu2300 linjiqn22400 linjiqn22400
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,QN2 QNU,W36 F98 QN2,,SCS25 DVEBMGS23,SMDA78 SMDA88 JC24,linjiqn22400 linciqnu2300,linciqnu2300 linjiqn22400 linjiqn22400
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,DN2 DNU QN2,,,,
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,,GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,
dcp,legdgn01,dcpaix21290380,dcppwr21091681,10.141.64.44,27,149,GDT GDT,,GDT,SCS25 DVEBMGS24,,lincigdt2400 lincigdt2400,
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,DN2 DNU QN2,,,,
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DN2 DNU,DN2 E11,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DN2 DNU,DN2 E11,,SCS28 DVEBMGS26,JC27 SMDA85,linjidn22700 lincidnu2600,linjidn22700 lincidnu2600
dcp,legdgn01,dcpaix21323105,dcppwr21091681,10.141.64.195,12,149,,,DN2 DNU QN2,,,,
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,DGH AGH,,,,
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,AGH DGH,E40 E08,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200
dcp,legdgn01,dcpaix21404421,dcppwr21137046,10.141.64.21,21,149,,,DGE,,,,
dcp,legdgn01,dcpaix21346106,dcppwr21175799,10.141.64.170,11,149,DGE,,,DVEBMGS10,,lincidge1000,
dcp,legdgn01,dcpaix21290142,dcppwr21091681,10.141.64.27,19,149,,,DGH AGH,,,,
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,AGH DGH,E40 E08,,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200
dcp,legpgi01,dcpaix21404635,dcppwr19322687,10.141.112.41,17,327,PGD,PGD,,SCS05,JC04,linjipgd0400,linjipgd0400
dcp,legpgi01,dcpaix21408740,dcppwr21175799,10.141.112.62,51,327,,H15,PGX,,SMDA82,,lindbpgx3200c4
dcp,legpgi01,dcpaix21404401,dcppwr21137049,10.141.112.39,83,327,PGX PGX,F13,,SCS33 DVEBMGS32,SMDA86,lincipgx3200 lincipgx3200,lincipgx3200
dcp,legpgi01,dcpaix21408733,dcppwr21091681,10.141.112.64,13,327,,,PGD,,,,
dcp,legpgn01,dcpaix21296602,dcppwr21091687,10.141.64.106,50,149,,W01,,,SMDA98,,lincidd15600
dcp,legpgn01,dcpaix21289331,dcppwr19322693,10.141.64.104,13,149,PGI,PGI,,SCS06,JC07,linjipgi0700,linjipgi0700
dcp,legpgn01,dcpaix21290035,dcppwr21091681,10.141.64.19,7,149,,,PGI,,,,
dcp,legpgn01,dcpaix21289337,dcppwr21091687,10.141.64.40,47,149,,H12,PGH,,SMDA81,,lindbpgh5900c4
dcp,legpgn01,dcpaix21290383,dcppwr21137049,10.141.64.50,148,149,PGH,F11,,DVEBMGS59,SMDA87,lincipgh5900,lincipgh5900
dcp,legpgn01,dcpaix21335701,dcppwr21091681,10.141.64.144,16,149,,H72 H43,PNU PN2,,SMDA79 SMDA43,,lindbpnu4200c4 linjdpn24300c4
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,PN2 PNU,PN2 E51 F83,,SCS44 DVEBMGS42,JC43 SMDA80 SMDA83,linjipn24300 lincipnu4200,linjipn24300 lincipnu4200 linjipn24300
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,PN2 PNU,PN2 E51 F83,,SCS44 DVEBMGS42,JC43 SMDA80 SMDA83,linjipn24300 lincipnu4200,linjipn24300 lincipnu4200 linjipn24300
dcp,legpgn01,dcpaix21335701,dcppwr21091681,10.141.64.144,16,149,,H72 H43,PNU PN2,,SMDA79 SMDA43,,lindbpnu4200c4 linjdpn24300c4
dcp,legpgn01,dcpaix21289487,dcppwr21091687,10.141.64.42,13,149,,H36,GPT,,SMDA80,,lindbgpt2000c4
